Date,Order_id,Product,Product Group
2018-01-01,1,yogurt,F&S
2018-01-01,1,pork,F&S
2018-01-01,1,sandwich bags,F&S
2018-01-01,1,lunch meat,F&S
2018-01-01,1,all- purpose,F&S
2018-01-01,1,flour,F&S
2018-01-01,1,soda,B&D
2018-01-01,1,butter,F&S
2018-01-01,1,beef,F&S
2018-01-01,1,aluminum foil,NC
2018-01-01,1,all- purpose,F&S
2018-01-01,1,dinner rolls,F&S
2018-01-01,1,shampoo,NC
2018-01-01,1,all- purpose,F&S
2018-01-01,1,mixes,F&S
2018-01-01,1,soap,NC
2018-01-01,1,laundry detergent,NC
2018-01-01,1,ice cream,F&S
2018-01-01,1,dinner rolls,F&S
2018-01-01,2,toilet paper,NC
2018-01-01,2,shampoo,NC
2018-01-01,2,hand soap,NC
2018-01-01,2,waffles,F&S
2018-01-01,2,cheeses,F&S
2018-01-01,2,mixes,F&S
2018-01-01,2,milk,B&D
2018-01-01,2,sandwich bags,F&S
2018-01-01,2,laundry detergent,NC
2018-01-01,2,dishwashing liquid/detergent,NC
2018-01-01,2,waffles,F&S
2018-01-01,2,individual meals,F&S
2018-01-01,2,hand soap,NC
2018-01-01,2,individual meals,F&S
2018-01-01,2,yogurt,F&S
2018-01-01,2,cereals,F&S
2018-01-01,2,shampoo,NC
2018-01-01,2,aluminum foil,NC
2018-01-01,2,tortillas,F&S
2018-01-01,2,mixes,F&S
2018-01-02,3,soda,B&D
2018-01-02,3,pork,F&S
2018-01-02,3,soap,NC
2018-01-02,3,ice cream,F&S
2018-01-02,3,toilet paper,NC
2018-01-02,3,dinner rolls,F&S
2018-01-02,3,hand soap,NC
2018-01-02,3,spaghetti sauce,F&S
2018-01-02,3,milk,B&D
2018-01-02,3,ketchup,F&S
2018-01-02,3,sandwich loaves,F&S
2018-01-02,3,poultry,F&S
2018-01-02,3,toilet paper,NC
2018-01-02,3,ice cream,F&S
2018-01-02,3,ketchup,F&S
2018-01-02,3,laundry detergent,NC
2018-01-02,3,spaghetti sauce,F&S
2018-01-02,3,bagels,F&S
2018-01-02,3,soap,NC
2018-01-02,3,ice cream,F&S
2018-01-02,3,shampoo,NC
2018-01-02,3,lunch meat,F&S
2018-01-02,3,cereals,F&S
2018-01-02,3,spaghetti sauce,F&S
2018-01-02,3,pork,F&S
2018-01-02,3,cheeses,F&S
2018-01-02,3,eggs,F&S
2018-01-02,4,cereals,F&S
2018-01-02,4,juice,B&D
2018-01-02,4,lunch meat,F&S
2018-01-02,4,soda,B&D
2018-01-02,4,toilet paper,NC
2018-01-02,4,all- purpose,F&S
2018-01-02,5,sandwich loaves,F&S
2018-01-02,5,pasta,F&S
2018-01-02,5,tortillas,F&S
2018-01-02,5,mixes,F&S
2018-01-02,5,hand soap,NC
2018-01-02,5,toilet paper,NC
2018-01-02,5,paper towels,NC
2018-01-02,5,flour,F&S
2018-01-02,5,pork,F&S
2018-01-02,5,poultry,F&S
2018-01-02,5,eggs,F&S
2018-01-02,5,pork,F&S
2018-01-02,5,spaghetti sauce,F&S
2018-01-02,5,milk,B&D
2018-01-02,5,waffles,F&S
2018-01-02,5,individual meals,F&S
2018-01-02,5,dinner rolls,F&S
2018-01-02,5,all- purpose,F&S
2018-01-02,5,soda,B&D
2018-01-02,5,yogurt,F&S
2018-01-02,6,laundry detergent,NC
2018-01-02,6,toilet paper,NC
2018-01-02,6,eggs,F&S
2018-01-02,6,toilet paper,NC
2018-01-02,6,bagels,F&S
2018-01-02,6,dishwashing liquid/detergent,NC
2018-01-02,6,cereals,F&S
2018-01-02,6,paper towels,NC
2018-01-02,6,laundry detergent,NC
2018-01-02,6,butter,F&S
2018-01-02,6,cereals,F&S
2018-01-02,6,bagels,F&S
2018-01-02,6,paper towels,NC
2018-01-02,6,shampoo,NC
2018-01-02,6,toilet paper,NC
2018-01-02,6,soap,NC
2018-01-02,6,soap,NC
2018-01-02,6,pasta,F&S
2018-01-02,6,coffee/tea,B&D
2018-01-02,6,poultry,F&S
2018-01-02,6,bagels,F&S
2018-01-02,6,aluminum foil,NC
2018-01-02,6,butter,F&S
2018-01-02,6,spaghetti sauce,F&S
2018-01-02,6,ketchup,F&S
2018-01-02,6,all- purpose,F&S
2018-01-02,6,milk,B&D
2018-01-03,7,individual meals,F&S
2018-01-03,7,paper towels,NC
2018-01-03,7,tortillas,F&S
2018-01-03,7,milk,B&D
2018-01-03,7,ice cream,F&S
2018-01-03,7,juice,B&D
2018-01-03,7,dishwashing liquid/detergent,NC
2018-01-03,7,soap,NC
2018-01-03,7,sandwich bags,F&S
2018-01-03,7,pasta,F&S
2018-01-03,7,ketchup,F&S
2018-01-03,7,all- purpose,F&S
2018-01-03,7,yogurt,F&S
2018-01-03,7,mixes,F&S
2018-01-03,7,mixes,F&S
2018-01-03,7,toilet paper,NC
2018-01-03,7,beef,F&S
2018-01-03,7,sandwich bags,F&S
2018-01-03,7,eggs,F&S
2018-01-03,7,spaghetti sauce,F&S
2018-01-03,7,fruits,F&S
2018-01-03,7,toilet paper,NC
2018-01-04,8,ice cream,F&S
2018-01-04,8,juice,B&D
2018-01-04,8,paper towels,NC
2018-01-04,8,waffles,F&S
2018-01-04,8,soda,B&D
2018-01-04,8,cheeses,F&S
2018-01-04,8,poultry,F&S
2018-01-04,8,toilet paper,NC
2018-01-04,9,juice,B&D
2018-01-04,9,poultry,F&S
2018-01-04,9,coffee/tea,B&D
2018-01-04,9,coffee/tea,B&D
2018-01-04,9,dishwashing liquid/detergent,NC
2018-01-05,10,ketchup,F&S
2018-01-05,10,coffee/tea,B&D
2018-01-05,10,toilet paper,NC
2018-01-05,10,pork,F&S
2018-01-05,10,flour,F&S
2018-01-05,10,milk,B&D
2018-01-05,10,soda,B&D
2018-01-05,10,dishwashing liquid/detergent,NC
2018-01-05,10,eggs,F&S
2018-01-05,10,tortillas,F&S
2018-01-05,10,tortillas,F&S
2018-01-05,10,fruits,F&S
2018-01-05,10,sugar,F&S
2018-01-05,10,soap,NC
2018-01-05,10,dishwashing liquid/detergent,NC
2018-01-05,10,juice,B&D
2018-01-05,10,sandwich loaves,F&S
2018-01-05,10,poultry,F&S
2018-01-05,10,eggs,F&S
2018-01-05,10,flour,F&S
2018-01-05,10,bagels,F&S
2018-01-05,10,soda,B&D
2018-01-05,10,bagels,F&S
2018-01-05,10,soda,B&D
2018-01-05,10,beef,F&S
2018-01-05,10,coffee/tea,B&D
2018-01-05,10,dishwashing liquid/detergent,NC
2018-01-05,10,cheeses,F&S
2018-01-05,10,beef,F&S
2018-01-05,10,soap,NC
2018-01-05,10,lunch meat,F&S
2018-01-05,10,pork,F&S
2018-01-05,10,waffles,F&S
2018-01-05,11,sandwich loaves,F&S
2018-01-05,11,ice cream,F&S
2018-01-05,11,soda,B&D
2018-01-05,11,bagels,F&S
2018-01-05,11,dishwashing liquid/detergent,NC
2018-01-05,11,eggs,F&S
2018-01-05,11,sugar,F&S
2018-01-05,11,waffles,F&S
2018-01-05,11,individual meals,F&S
2018-01-05,11,toilet paper,NC
2018-01-05,11,pasta,F&S
2018-01-05,11,sandwich loaves,F&S
2018-01-05,11,cheeses,F&S
2018-01-05,11,hand soap,NC
2018-01-05,11,ketchup,F&S
2018-01-05,11,poultry,F&S
2018-01-05,11,dinner rolls,F&S
2018-01-05,11,dishwashing liquid/detergent,NC
2018-01-05,11,coffee/tea,B&D
2018-01-05,11,milk,B&D
2018-01-05,11,shampoo,NC
2018-01-05,11,ketchup,F&S
2018-01-05,11,sandwich loaves,F&S
2018-01-05,11,hand soap,NC
2018-01-05,11,bagels,F&S
2018-01-05,11,flour,F&S
2018-01-05,11,pork,F&S
2018-01-06,12,pork,F&S
2018-01-06,12,tortillas,F&S
2018-01-06,12,pork,F&S
2018-01-06,12,shampoo,NC
2018-01-06,12,lunch meat,F&S
2018-01-06,12,pasta,F&S
2018-01-06,12,juice,B&D
2018-01-06,12,bagels,F&S
